id,project_id,name,image,requires_address,description,delivery_date,available,amount,post_modified,post_date,created_at,updated_at,,,,,,,
5092,509,100,NULL,NULL,Awesome apparel with Yspaniola logo,NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5093,509,200,NULL,NULL,A handmade piece of art by a student from Batey Libertad,NULL,NULL,200,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5094,509,500,NULL,NULL,You will receive a FREE ticket to an Yspaniola event in New York City (plus all other listed perks),NULL,NULL,500,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5100,510,1,NULL,NULL,Receive a thank you email from the Latin American Coalition team.,NULL,NULL,1,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5101,510,25,NULL,NULL,"Receive a hand-written note from Itzel or Karla, the students featured in our CAPT video.",NULL,NULL,25,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5102,510,100,NULL,NULL,Receive a thank you video just for you created by the Latin American Coalition and the CAPT team.,NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5103,510,510,NULL,NULL,Receive a Latin American Coalition logo t-shirt; can request your size through email.,NULL,NULL,510,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5110,511,5,NULL,NULL,"Un correo electrónico personalizado, agradeciendo el donativo.",NULL,NULL,5,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5111,511,150,NULL,NULL,"Recibirás una postal de agradecimiento, un pin y una taza.",NULL,NULL,150,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5112,511,500,NULL,NULL,"Recibirás una postal de agradecimiento con pin, taza y tu nombre aparecerá en nuestro sitio web agradeciendo tu apoyo",NULL,NULL,500,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5120,512,150,NULL,NULL,Got Food? Thank a Farmworker bumper sticker,NULL,NULL,150,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5121,512,250,NULL,NULL,Print of farmworker mural created by Levante youth (6 in x 19 in),NULL,NULL,250,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5150,515,5,,NULL,We will add you to our mailing list and you will be able to know first about our product releases.,NULL,NULL,5,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5151,515,15,,NULL,One student gets a full programming course,NULL,NULL,15,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5152,515,20,,NULL,Our students will know your name and that you supported their learning.,NULL,NULL,20,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
